Brand,Mouse,Sensor,PollingRate,Hand,Weight,ExtraButtons,L,W,H
Atompalm,Hydrogen,PMW 3360,8000,Ambidex,48,2,124,65,40
Zaunkoenig,M2K,PMW 3360,8000,Ambidex,24,0,79,60,29
Razer,Viper 8k,Focus+,8000,Ambidex,71,5,127,58,38
Zowie,ZA11,PMW 3310,1000,Ambidex,90,4,128,67,40
Genesis,Xenon 770,PAW 3327,1000,Right,110,4,128,69,39
Genesis,Xenon 800,PAW 3389,1000,Right,58,4,120,66,43
endgamegear,XM1,PMW 3389,1000,Ambidex,70,2,122,66,38
endgamegear,XM1r,PMW 3370,1000,Ambidex,70,2,122,66,38
Mountain,Makalu 67,PMW 3370,1000,Right,67,3,127,70,42
Ninox,Aurora,ADNS 3090,1000,Ambidex,70,3,118,61,38
Zowie,ZA13,PMW 3310,1000,Ambidex,80,4,120,62,38
Zowie,ZA12,PMW 3310,1000,Ambidex,85,4,124,64,39
Genesis,Krypton 770,PAW 3360,1000,Right,138,4,130,69,43
Zowie,FK1,PMW 3310,1000,Ambidex,90,4,128,67,37
Zowie,FK1+,PMW 3310,1000,Ambidex,95,4,128,68,38
Zowie,FK2,PMW 3310,1000,Ambidex,85,4,124,64,36
Zowie,EC1-A,PMW 3310,1000,Right,93,2,128,69,43
Zowie,EC2-A,PMW 3310,1000,Right,93,2,120,64,40
Zowie,S1-C,PMW 3360,1000,Ambidex,72,2,123,66,40
Zowie,S1-C,PMW 3360,1000,Ambidex,69,2,120,64,38
Razer,Basilisk X Hyperspeed,PMW 3369,1000,Right,83,3,130,60,42
Razer,Basilisk V2,Focus+,1000,Ambidex,92,6,130,60,42
Razer,Basilisk V3,Focus+,1000,Right,92,8,130,60,43
Razer,Basilisk Ultimate,Focus+,1000,Ambidex,107,6,130,60,42
Razer,DeathAdder V2 Pro,Focus+,1000,Ambidex,88,4,127,73,43
Razer,DeathAdder V2,Focus+,1000,Ambidex,82,4,127,73,43
Razer,DeathAdder V2 Mini,Focus+,1000,Ambidex,69,3,114,64,43
Genesis,Krypton 750,PAW 3333,1000,Ambidex,58,3,118,61,39
Razer,Viper,PMW 3390,1000,Ambidex,69,5,127,58,38
Razer,Viper Mini,PMW 3359,1000,Ambidex,61,3,118,54,38
Razer,Viper Ultimate,Focus+,1000,Ambidex,74,5,127,58,38
Razer,Mamba Elite,PMW 3390,1000,Right,96,6,125,70,43
Razer,Mamba Wireless,PMW 3390,1000,Right,106,6,126,70,43
Razer,Lancehead,PMW 3390,1000,Ambidex,109,6,117,71,38
Razer,DeathAdder Elite,PMW 3390,1000,Right,98,4,127,70,44
Razer,Basilisk,PMW 3390,1000,Right,107,5,124,75,43
Razer,DeathAdder Chroma,SDNS 3989,1000,Right,105,2,127,70,44
Razer,DeathAdder 2013,SDNS 3988,1000,Right,105,2,127,70,44
Razer,Orochi V2,PMW 3390,1000,Ambidex,60,3,108,60,38
Asus,ROG Gladius,SDNS 3988,1000,Right,116,3,126,67,45
